N.º,Last chord,Sqrt(total cost)
1,Dbmaj7,0.00
2,Ab/C    ,0.50
3,Caug7,1.03
4,Fm11,1.68
5,Bb9,3.14
6,Eb9sus4,3.17
7,Eb13sus4,3.96
8,Eb13,4.04
9,Ab      ,4.68
10,Eb/G    ,4.80
11,Fm7,5.38
12,Bb7,5.40
13,Eb7sus4,5.44
14,Eb7,5.45
15,Gdim/Db ,5.56
16,Caug7,5.63
17,Fm9,5.83
18,Bb7,5.90
19,Eb9sus4,5.93
20,Eb9,5.93
21,Eb9sus4,5.94
22,Dbaugmaj7/A,6.65
23,Bbm7/Ab,6.77
24,Eb7/G,6.81
25,Abmaj9,7.27
26,D7,7.34
27,Gaug7,7.38
28,Ebmaj7,7.79
29,G9sus4,7.89
30,Cm11,8.04
31,F9sus4,8.07
32,F13,8.21
33,Bb13,8.21
34,E9sus4,8.21
35,Eb9sus4,8.27
36,Eb13,8.99
37,Bbm9,9.01
38,A7,9.08
39,Absus4,9.10
40,Abmaj7,9.11
41,Gdim    ,9.28
42,C7,9.33
43,Fm7,9.34
44,Em9,9.34
45,Ebm11,9.96
46,Ab13,9.96
47,Dbmaj7,9.96
48,Gbmaj7,9.98
49,Cdim    ,10.09
50,F7,10.09
51,Bbm9,10.38
52,F9sus4,10.41
53,Bbm9,10.41
54,Eb7sus4,10.55
55,Eb13,10.73
56,Gdim/Db ,11.41
57,Caug7,11.45
58,Fm9,11.54
59,Fm7/Eb,11.68
60,Ddim    ,11.68
61,G7,11.68
62,Ebmaj7,11.78
63,Fm7/Ab,11.80
64,Abmaj7,12.09
65,Fm7,12.29
66,Fm11,12.29
67,Bb9,12.49
68,Ebsus4,12.65
69,Cb13,12.65
70,Fbmaj7,12.65
71,Eb13sus4,12.98
72,Absus4,13.05
73,Dbmaj7,13.05
74,Gdim    ,13.25
75,Caug7,13.33
76,Fm7,13.65
77,Fmmaj7/E,13.65
78,Ebm7,13.67
79,Ab13,13.73
80,Dbmaj7,13.73
81,Gbmaj7,13.74
82,Cdim    ,13.82
83,F7,13.82
84,Bbm9,14.03
85,F9sus4,14.06
86,Bbm11,14.24
87,Bbm9/Ab,14.27
88,Gdim    ,14.42
89,Caug7,14.49
90,Ebm/Gb  ,14.53
91,F7,14.56
92,Bbm9,14.76
93,Dbm7,14.91
94,Gb13,14.99
95,Ab/Eb   ,15.04
96,Ebaugmaj7,15.08
97,Ebsus2,15.08
98,Ab/Eb   ,15.09
99,F13,15.09
100,F7,15.10
101,Bbm7,15.10
102,Eb13,15.43
103,Ab      ,15.61
104,Dbmaj7,15.61
105,Cm7,15.67
106,F13,15.75
107,Bbmaj7,15.75
108,Ebmaj7,15.76
109,Adim    ,15.83
110,Daug7,15.84
111,Gmmaj7,15.89
112,F#dim   ,15.92
113,Fm11,15.93
114,Bb9sus4,15.93
115,Bb7sus4,15.96
116,Ebmaj7,15.97
117,Abmaj7,16.09
118,Ddim    ,16.42
119,G7,16.42
120,Cm      ,16.58
121,Gaug7,16.77
122,Cm11,16.77
123,Eb/Bb   ,16.77
124,Adim    ,17.37
125,Bb/D    ,17.38
126,Fm/Ab   ,17.39
127,Gaug7,17.78
128,Cm9,18.22
129,Ebm7,18.23
130,Ab13,18.42
131,Bb/F    ,18.46
132,Faugmaj7,18.49
133,Bbsus2,18.52
134,Bb/F    ,18.56
135,G13,18.63
136,G7,18.63
137,Cm9,18.66
138,F13,18.67
139,Bb      ,18.67
140,Ebmaj7/Bb,18.67
141,Bb      ,18.67
142,Daug7,18.68
143,Gm11,18.68
144,Gm7,18.73
145,F9sus4,18.73
146,F7sus4,18.77
147,Bbmaj13,18.80
