N.º,Last chord,L2 distance
1,Em7,0.00
2,G       ,0.17
3,Am      ,0.37
4,C       ,0.42
5,Em7,0.42
6,Cmaj7,0.46
7,Am      ,0.46
8,Em7,0.49
9,D       ,0.76
10,C       ,0.94
11,Em      ,1.08
12,Em7,1.19
13,G       ,1.20
14,Am      ,1.25
15,Cmaj7,1.25
16,Em7,1.26
17,D       ,1.39
18,C       ,1.49
19,D       ,1.59
20,Em      ,1.92
21,G       ,2.04
22,Am      ,2.06
23,C       ,2.07
24,Em7,2.07
25,D       ,2.15
26,Em      ,2.41
27,Am      ,2.43
28,Em      ,2.46
29,D       ,2.68
30,A       ,2.74
31,Em      ,2.79
32,Am      ,2.81
33,Em      ,2.83
34,C       ,2.88
35,B       ,3.51
36,C       ,3.65
37,D       ,4.07
38,Em      ,4.22
39,Am      ,4.23
40,Em      ,4.24
41,C       ,4.28
42,Em      ,4.31
43,D       ,4.44
44,C       ,4.48
45,D       ,4.51
46,Em7,4.55
47,G       ,4.55
48,Am      ,4.56
49,C       ,4.57
50,Em      ,4.60
51,D       ,4.72
52,Em7,4.76
53,G       ,4.76
54,Am      ,4.77
55,C       ,4.78
56,Em      ,4.81
57,C       ,4.84
58,Am      ,4.84
59,Em7,4.85
60,D       ,4.88
61,Em7,4.92
62,Am      ,4.92
63,Em      ,4.93
64,D       ,5.05
65,A       ,5.08
66,Em      ,5.10
67,Am      ,5.12
68,Em      ,5.13
69,C       ,5.15
70,B       ,5.53
71,C       ,5.62
72,D       ,5.90
73,Em      ,6.00
74,Am      ,6.01
75,Em      ,6.02
76,Am      ,6.03
77,Em      ,6.04
78,C       ,6.06
79,Em      ,6.09
80,Am      ,6.10
81,Em7,6.10
82,C       ,6.10
83,Em7,6.10
84,Am      ,6.10
85,Em      ,6.11
86,C       ,6.13
87,Em      ,6.16
88,Am      ,6.17
89,Em      ,6.17
90,Am      ,6.18
91,Em      ,6.19
92,C       ,6.22
93,Em      ,6.24
94,Am7,6.24
95,Em      ,6.24
96,C       ,6.26
97,Em      ,6.28
98,Am7,6.28
99,Em      ,6.29
100,C       ,6.31
101,Em      ,6.33
102,Am7,6.33
103,Em      ,6.33
104,C       ,6.35
105,Em      ,6.38
106,Am      ,6.38
107,Em      ,6.39
108,C       ,6.42
109,Em      ,6.44
110,Am      ,6.45
111,Em      ,6.45
112,C       ,6.48
113,Em      ,6.50
114,Am      ,6.51
115,Em      ,6.52
116,C       ,6.54
117,Em      ,6.56
118,Am      ,6.57
119,Em      ,6.58
120,C       ,6.60
121,Em      ,6.62
122,Am      ,6.63
123,Em      ,6.64
124,Cmaj7,6.64
