N.º,Last chord,L2 distance
1,G#9sus4,0.00
2,G#7,1.00
3,C#m9,1.80
4,F#      ,1.92
5,G#9sus4,1.93
6,G#7,2.44
7,C#m9,2.64
8,F#sus4,2.69
9,C#m9,2.73
10,F#9sus4,2.83
11,D#m7,2.99
12,G#7,3.07
13,C#m9,3.23
14,F#9sus4,3.32
15,D#m7,3.45
16,G#7,3.52
17,Emaj9,4.02
18,D#7,4.02
19,G#7sus4,4.08
20,C#7sus4,4.57
21,C#7,4.57
22,C#m7,4.58
23,Badd9/D#,4.65
24,Em7,4.71
25,F#13sus2/4,5.38
26,C#m9,5.40
27,F#9sus4,5.45
28,D#m7,5.54
29,G#7,5.58
30,C#m9,5.67
31,F#9sus4,5.72
32,D#m7,5.80
33,G#7,5.84
34,Emaj9,6.15
35,D#7,6.16
36,G#7sus4,6.20
37,C#7sus4,6.52
38,C#7,6.53
39,C#m9,6.66
40,Badd9/D#,6.76
41,Em7,6.86
42,F#13sus2/4,7.10
43,Emaj7,7.12
44,D#m     ,7.19
45,C#m7,7.22
46,D#7,7.28
47,G#m7,7.57
48,F#9sus4,7.57
49,B#m7b5,7.61
50,B7,7.84
51,Emaj7,7.88
52,D#m7,7.99
53,Dm13,8.00
54,C#m7,8.18
55,F#9sus4,8.25
56,Em7,8.47
57,C#m9,8.79
58,F#9sus4,8.82
59,D#m7,8.87
60,G#7sus4,8.89
61,C#m9,8.97
62,F#9sus4,9.00
63,D#m9,9.08
64,G#sus4,9.10
65,Emaj9,9.31
66,D#7b9b13,9.39
67,G#m7,9.47
68,C#sus4,9.56
69,C#7,9.58
70,C#m7,9.59
71,B/D#    ,9.88
72,Em7,9.90
73,F#13sus2/4,10.13
74,Emaj7,10.14
75,D#m     ,10.19
76,C#m7,10.22
77,D#7,10.26
78,G#m     ,10.54
79,F#9sus4,10.55
80,B#m7b5,10.58
81,B7,10.74
82,Emaj7,10.77
83,D#m7,10.85
84,Bdim/D  ,10.85
85,C#m7,10.92
86,F#9sus4,10.97
87,Em7,11.14
88,Gmaj7,11.14
89,F#m7,11.27
90,Em7,11.29
91,F#7b13,11.60
92,Bm      ,11.60
93,Bm7/A,11.61
94,G#m7b5,11.66
95,Gmmaj7,11.67
96,F#m7,11.71
97,Bdim/F  ,11.75
98,Em7,11.95
99,Asus4,11.95
100,A       ,11.95
101,Emaj9,11.96
102,D#7,12.05
103,G#9sus4,12.07
104,C#7sus4,12.07
105,C#7,12.18
106,C#m7,12.18
107,B/D#    ,12.42
108,Em7,12.43
109,F#13sus2/4,12.61
110,Emaj7,12.62
111,D#m     ,12.66
112,C#m7,12.68
113,D#7,12.72
114,G#m     ,12.95
115,F#9sus4,12.95
116,B#m7b5,12.98
117,B7,13.11
118,Emaj7,13.13
119,D#m7,13.20
120,Bdim/D  ,13.20
121,C#m7,13.25
122,F#13sus2/4,13.26
123,Em7,13.38
