N.º,Last chord,Sqrt(total cost)
1,Bb      ,0.00
2,Gm7,0.83
3,Ebmaj9#11,0.86
4,Bb/D    ,0.88
5,F7sus4,1.49
6,Bbadd9,1.49
7,Gm7add11,3.76
8,Eb      ,3.84
9,Bb/D    ,3.96
10,Fsus2,4.09
11,Bbadd9,4.12
12,Gm7add11,4.19
13,Ebmaj7,4.22
14,Fsus4,4.25
15,Bbmaj7/D,4.90
16,Ebmaj7,5.37
17,Fsus4,5.46
18,Bbmaj7/D,5.59
19,Ebmaj7#11,6.84
20,Fsus4,6.85
21,Bb      ,6.85
22,Gm      ,7.01
23,Ebmaj7#11,7.15
24,Bbmaj7/D,8.17
25,Fsus2,8.40
26,Bbmaj7,8.69
27,Gm7,8.71
28,Ebmaj7#11,8.86
29,F       ,8.87
30,Bbmaj7/D,9.89
31,Ebmaj9#11,9.90
32,Fsus4,9.93
33,Bbmaj7/D,10.00
34,Ebmaj7#11,10.75
35,F       ,10.76
36,Bb      ,10.77
37,Bbadd9,10.81
38,Gm11,10.82
39,Ebmaj7,10.84
40,F       ,10.87
41,Bbadd9,10.88
42,Gm9,11.15
43,Ebmaj7,11.15
44,F       ,11.23
45,Gm      ,11.38
46,F       ,11.52
47,Eb      ,11.56
48,Fsus4,11.58
49,Bb      ,11.58
