N.º,Last chord,Sqrt(total cost)
1,F#m/C#  ,0.00
2,A/C#    ,2.20
3,Bm7     ,3.21
4,E       ,3.32
5,Esus4   ,3.33
6,E       ,3.33
7,F#m     ,4.14
8,A/C#    ,4.75
9,Bm7     ,5.29
10,E       ,5.36
11,Esus4   ,5.37
12,E       ,5.37
13,F#m     ,5.91
14,A/C#    ,6.35
15,D       ,6.46
16,E       ,6.54
17,Esus4   ,6.65
18,E       ,6.76
19,F#m     ,7.22
20,A/C#    ,7.58
21,D       ,7.68
22,E       ,7.74
23,C#5     ,7.74
24,C5      ,7.81
25,Bm7     ,8.00
26,C#m7    ,8.02
27,F#m     ,8.04
28,Cm7     ,8.05
29,Bm7     ,8.06
30,C#m7    ,8.08
31,F#m7    ,8.13
32,Cm7     ,8.13
33,Bm7     ,8.14
34,C#m7    ,8.16
35,Dmaj7   ,8.17
36,Cm7     ,8.19
37,Bm7     ,8.21
38,C#m7    ,8.24
39,Dmaj7   ,8.24
40,Cm7     ,8.26
41,Bm7     ,8.29
42,C#m7    ,8.31
43,D       ,8.43
44,E       ,8.48
45,F#m     ,8.68
46,A/C#    ,8.99
47,D       ,9.07
48,E       ,9.12
49,F#m     ,9.47
50,A/C#    ,9.75
51,D       ,9.82
52,E       ,9.88
53,Esus4   ,9.95
54,E       ,10.02
55,F#m     ,10.34
56,A/C#    ,10.60
57,D       ,10.66
58,E       ,10.71
59,F#m     ,11.01
60,A/C#    ,11.25
61,D       ,11.31
62,E       ,11.36
63,C#5     ,11.36
64,C5      ,11.40
65,Bm7     ,11.53
66,C#m7    ,11.55
67,F#m     ,11.56
68,Cm7     ,11.57
69,Bm7     ,11.58
70,C#m7    ,11.59
71,F#m     ,11.61
72,Cm7     ,11.62
73,Bm7     ,11.62
74,C#m7    ,11.64
75,Dmaj7   ,11.64
76,E       ,11.78
77,Cm7     ,11.86
78,Bm7     ,11.87
79,C#m7    ,11.88
80,Dmaj7   ,11.88
81,E       ,12.02
82,Cm7     ,12.10
83,Bm7     ,12.10
84,A/C#    ,12.34
85,D       ,12.40
86,E       ,12.44
87,F#m     ,12.69
88,A/C#    ,12.91
89,D       ,12.96
90,E       ,13.00
91,F#m     ,13.25
92,A/C#    ,13.45
93,D       ,13.50
94,E       ,13.54
95,Esus4   ,13.59
96,E       ,13.65
97,F#m     ,13.88
98,A/C#    ,14.07
99,D       ,14.12
100,E       ,14.16
101,F#m     ,14.39
102,A/C#    ,14.57
103,D       ,14.62
104,E       ,14.66
105,F#m     ,14.87
106,A/C#    ,15.06
107,D       ,15.10
108,E       ,15.14
109,F#m     ,15.35
110,A/C#    ,15.52
111,D       ,15.57
112,E       ,15.60
113,F#m     ,15.81
114,A/C#    ,15.98
115,D       ,16.02
116,E       ,16.05
117,F#m     ,16.25
118,A/C#    ,16.42
119,D       ,16.46
120,E       ,16.49
121,F#m     ,16.69
122,A/C#    ,16.85
123,D       ,16.89
124,E       ,16.92
125,F#m     ,17.11
126,A/C#    ,17.27
127,D       ,17.31
128,E       ,17.34
129,F#m     ,17.52
130,A/C#    ,17.68
131,D       ,17.72
132,E       ,17.75
133,F#m     ,17.93
134,A/C#    ,18.08
135,D       ,18.12
136,E       ,18.14
137,Bm7     ,18.25
138,C#m7    ,18.34
139,F#m     ,18.35
140,Cm7     ,18.35
141,Bm7     ,18.36
142,C#m7    ,18.37
143,F#m     ,18.38
144,Cm7     ,18.38
145,Bm7     ,18.39
146,C#m7    ,18.40
147,Dmaj7   ,18.40
148,E       ,18.49
149,Cm7     ,18.54
150,Bm7     ,18.54
151,C#m7    ,18.55
152,Dmaj7   ,18.55
153,E       ,18.64
154,Cm7     ,18.69
155,Bm7     ,18.69
156,C#m7    ,18.70
157,D       ,18.76
158,E       ,18.78
159,F#m     ,18.87
160,A/C#    ,19.02
161,D       ,19.05
162,E       ,19.08
163,F#m     ,19.25
164,A/C#    ,19.39
165,D       ,19.43
166,E       ,19.45
167,Esus4   ,19.49
168,E       ,19.52
169,F#m     ,19.69
170,A/C#    ,19.83
171,D       ,19.86
172,E       ,19.89
173,F#m     ,20.05
174,A/C#    ,20.18
175,D       ,20.22
176,E       ,20.24
177,Esus4   ,20.28
178,E       ,20.31
179,F#m     ,20.47
180,A/C#    ,20.60
181,D       ,20.64
182,E       ,20.66
183,F#m     ,20.82
184,A/C#    ,20.95
185,D       ,20.98
186,E       ,21.01
187,F#m     ,21.16
188,A/C#    ,21.29
189,D       ,21.32
190,E       ,21.34
191,F#m     ,21.49
192,A/C#    ,21.62
193,D       ,21.65
194,E       ,21.68
195,F#m     ,21.82
196,A/C#    ,21.95
197,D       ,21.98
198,E       ,22.00
199,F#m     ,22.15
200,A/C#    ,22.27
201,D       ,22.30
202,E       ,22.33
203,F#m     ,22.47
204,A/C#    ,22.59
205,D       ,22.62
206,E       ,22.65
