N.º,Last chord,L2 distance
1,Bm      ,0.00
2,A       ,1.08
3,E       ,1.21
4,Bm      ,1.33
5,A       ,1.71
6,E       ,1.80
7,Bm      ,1.88
8,A       ,2.17
9,E       ,2.24
10,Bm      ,2.30
11,A       ,2.54
12,E       ,2.60
13,Bm      ,2.65
14,A       ,2.87
15,E       ,2.92
16,Bm      ,2.97
17,A       ,3.16
18,E       ,3.21
19,Bm      ,3.25
20,A       ,3.43
21,E       ,3.47
22,Bm      ,3.51
23,A       ,3.67
24,E       ,3.71
25,Bm      ,3.75
26,A       ,3.91
27,E       ,3.94
28,Bm      ,3.98
29,A       ,4.13
30,E       ,4.16
31,Bm      ,4.20
32,A       ,4.33
33,E       ,4.37
34,Bm      ,4.40
35,A       ,4.53
36,E       ,4.57
37,Bm      ,4.60
38,A       ,4.72
39,E       ,4.75
40,Bm      ,4.78
41,A       ,4.91
42,E       ,4.94
43,Bm      ,4.96
44,A       ,5.08
45,E       ,5.11
46,Bm      ,5.14
47,A       ,5.25
48,E       ,5.28
49,Bm      ,5.31
50,A       ,5.42
51,E       ,5.44
52,Bm      ,5.47
53,A       ,5.58
54,E       ,5.60
55,Bm      ,5.63
56,A       ,5.73
57,E       ,5.76
58,Bm      ,5.78
59,A       ,5.88
60,E       ,5.91
61,Bm      ,5.93
62,A       ,6.03
63,E       ,6.06
64,Bm      ,6.08
65,A       ,6.18
66,E       ,6.20
67,Bm      ,6.22
68,A       ,6.32
69,E       ,6.34
70,Bm      ,6.36
71,A       ,6.45
72,E       ,6.48
73,Bm      ,6.50
74,A       ,6.59
75,E       ,6.61
76,Bm      ,6.63
77,A       ,6.72
78,E       ,6.74
79,Bm      ,6.77
80,A       ,6.85
81,E       ,6.87
82,Bm      ,6.89
83,A       ,6.98
84,E       ,7.00
85,Bm      ,7.02
86,A       ,7.10
87,E       ,7.13
88,Bm      ,7.15
89,A       ,7.23
90,E       ,7.25
91,Bm      ,7.27
92,A       ,7.35
93,E       ,7.37
94,Bm      ,7.39
95,A       ,7.47
96,E       ,7.49
97,Bm      ,7.51
98,A       ,7.58
99,E       ,7.60
