N.º,Last chord,L2 distance
1,Em      ,0.00
2,Am      ,0.33
3,C       ,0.39
4,D       ,0.67
5,Em      ,1.28
6,D       ,1.67
7,C       ,1.76
8,Em      ,1.84
9,D       ,2.14
10,C       ,2.21
11,Em      ,2.27
12,D       ,2.51
13,C       ,2.57
14,G       ,2.58
15,B       ,3.18
16,Em      ,4.07
17,D       ,4.21
18,C       ,4.25
19,Em      ,4.28
20,D       ,4.41
21,C       ,4.45
22,Em      ,4.48
23,D       ,4.61
24,C       ,4.64
25,G       ,4.64
26,B7,4.64
27,Em      ,4.70
28,D       ,4.82
29,C       ,4.86
30,Em      ,4.88
31,D       ,5.00
32,C       ,5.03
33,Em      ,5.06
34,D       ,5.18
35,C       ,5.21
36,G       ,5.21
37,B7,5.21
38,Em      ,5.26
39,D       ,5.37
40,C       ,5.40
41,Em      ,5.42
42,D       ,5.53
43,Csus2,5.90
44,Em      ,6.68
45,D       ,6.77
46,C       ,6.79
47,G       ,6.79
48,B7,6.79
49,Em      ,6.83
50,C       ,6.85
51,A       ,6.85
52,D       ,6.87
53,C       ,6.89
54,A7,6.91
55,D       ,6.97
56,C       ,6.99
57,A7,7.00
58,D       ,7.07
59,Em      ,7.15
60,D       ,7.23
61,C       ,7.25
62,Em      ,7.27
63,D       ,7.35
64,C       ,7.37
65,Em      ,7.39
66,D       ,7.47
67,Csus2,7.75
68,G       ,7.75
69,B7,8.12
70,Em      ,8.15
71,C       ,8.17
72,A       ,8.17
73,D       ,8.19
74,C       ,8.21
75,A7,8.22
76,D       ,8.27
77,C       ,8.29
78,A7,8.30
79,D       ,8.36
80,Em      ,8.43
81,Am      ,8.43
82,C       ,8.43
83,Dsus2,8.43
84,Em      ,8.45
85,Am      ,8.46
86,C       ,8.46
87,Dsus4,8.50
88,Em      ,8.61
89,D       ,8.67
90,C       ,8.69
91,Em      ,8.71
92,D       ,8.77
93,C       ,8.79
94,Em      ,8.81
95,D       ,8.87
96,C       ,8.89
97,G       ,8.89
98,B7,8.89
99,Em      ,8.92
100,D       ,8.99
101,C       ,9.00
102,Em      ,9.02
103,D       ,9.09
104,C       ,9.10
105,Em      ,9.12
106,D       ,9.18
107,C       ,9.20
108,G       ,9.20
109,B7sus4,9.35
110,Em      ,9.64
111,C       ,9.65
112,Asus4,9.65
113,D       ,9.66
114,C       ,9.67
115,A7sus4,9.68
116,D       ,9.71
117,C       ,9.72
118,A7sus4,9.72
119,D       ,9.75
120,C       ,9.77
121,A7sus4,9.77
122,D       ,9.80
123,C       ,9.81
124,A7sus4,9.82
125,D       ,9.84
126,Em      ,9.90
127,D       ,9.96
128,C       ,9.98
129,Em      ,9.99
130,D       ,10.05
131,C       ,10.07
132,Em      ,10.08
133,D       ,10.14
134,C       ,10.15
135,G       ,10.15
136,B7,10.15
137,Em      ,10.18
138,D       ,10.24
139,C       ,10.25
140,Em      ,10.27
141,D       ,10.32
142,C       ,10.34
143,Em      ,10.35
144,D       ,10.41
145,Dsus4,10.41
146,G       ,10.43
147,B7,10.43
148,Em      ,10.46
